,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30,Word 31,Word 32,Word 33,Word 34,Word 35,Word 36,Word 37,Word 38,Word 39,Word 40,Word 41,Word 42,Word 43,Word 44,Word 45,Word 46,Word 47,Word 48,Word 49,Word 50,Word 51,Word 52,Word 53,Word 54,Word 55,Word 56,Word 57,Word 58,Word 59,Word 60,Word 61,Word 62,Word 63,Word 64,Word 65,Word 66,Word 67,Word 68,Word 69,Word 70,Word 71,Word 72,Word 73,Word 74,Word 75,Word 76,Word 77,Word 78,Word 79,Word 80,Word 81,Word 82,Word 83,Word 84,Word 85,Word 86,Word 87,Word 88,Word 89,Word 90,Word 91,Word 92,Word 93,Word 94,Word 95,Word 96,Word 97,Word 98,Word 99
Topic 0,chicken,money,coffee,sauce,quantity,value,ice,chocolate,cream,cake,place,great,tea,steak,desserts,menu,pasta,salad,bread,meat,taste,meal,pizzas,mouth,dessert,bit,time,wings,dish,cafe,way,friend,butter,spicy,stuff,home,fan,lovers,list,things,price,options,thing,kind,people,variety,feel,lot,rs,afternoon,days,items,experience,quality,decor,visit,water,interiors,lunch,ambiance,cost,service,staff,went,ambience,times,dishes,day,hours,food,dinner,evening,minutes,friends,waiter,restaurants,fish,family,restaurant,group,cheese,house,ones,person,choice,course,try,end,order,pizza,review,reviews,portions,zomato,style,burger,rating,town,space,seating
Topic 1,chicken,food,veg,starters,restaurant,course,buffet,biryani,lunch,rice,service,dishes,taste,paneer,dish,experience,place,ambience,city,fish,curry,mutton,dinner,time,items,meal,spicy,menu,order,desserts,spread,rating,options,ambiance,non,butter,starter,variety,restaurants,option,prawns,table,staff,lot,portions,bit,quality,style,people,choice,thing,went,review,dessert,end,friend,kind,bangalore,rs,times,visit,waiter,waiters,water,group,sunday,decor,things,space,days,fan,feel,drink,interiors,location,masala,money,person,ones,cost,price,reviews,home,zomato,family,stuff,try,soup,couple,seating,good,wings,afternoon,list,way,weekend,day,tables,meat,guys
Topic 2,food,place,service,ambience,taste,quality,time,pizza,restaurant,price,ambiance,burger,staff,friends,family,burgers,menu,cheese,experience,home,try,bit,visit,prices,times,variety,bangalore,pocket,location,people,lot,dishes,awesome,house,dinner,cocktails,music,thing,restaurants,items,lovers,pasta,cost,seating,stuff,decor,waiters,style,interiors,weekend,weekends,person,space,cafe,drinks,ones,reviews,evening,things,nachos,group,water,dish,spicy,chicken,drink,money,rs,feel,rating,days,kind,afternoon,fan,quantity,portions,city,good,order,options,choice,option,went,review,town,way,meal,great,list,friend,guys,places,zomato,end,pizzas,wait,couple,day,lunch,tables
Topic 3,place,food,time,beer,table,service,order,drinks,music,places,friends,people,bangalore,crowd,floor,menu,evening,day,ambiance,breakfast,staff,tables,experience,couple,way,bar,view,lot,times,minutes,thing,sunday,seating,drink,town,waiter,friend,beers,guys,wait,hours,good,weekend,zomato,kind,waiters,group,saturday,person,visit,feel,ambience,nachos,reviews,review,space,weekends,afternoon,things,days,went,options,choice,ones,list,water,end,decor,wings,fan,dinner,interiors,cafe,style,items,cost,chicken,variety,starter,taste,restaurant,spicy,dish,price,dishes,restaurants,rs,starters,meal,city,cocktails,bread,rating,stuff,house,bit,portions,location,option,home
Topic 4,dosa,masala,road,night,place,area,soup,bangalore,cuisine,day,chutney,beef,years,taste,nice,restaurant,world,rs,way,items,price,dishes,visit,prices,cost,time,saturday,times,lovers,dinner,experience,food,spicy,evening,dish,minutes,service,ambience,crowd,butter,coffee,days,fan,restaurants,breakfast,city,home,style,ones,try,person,bit,location,town,people,review,things,stuff,kind,mouth,house,space,meal,menu,order,zomato,thing,list,tables,end,water,places,seating,family,quality,lot,waiters,feel,option,couple,waiter,reviews,wait,weekend,rating,choice,decor,friend,chicken,good,sunday,ambiance,floor,pocket,cocktails,cheese,weekends,staff,went,guys
